ID,Problem,Symptoms,Remedies,Medicines,Source,Dosha Type,Body System,Chronic/Acute,Treatment Type,Contraindications,Preventive Advice,Seasonal Suitability,Gender/Age Relevance,Confidence,Classical Texts,Modern Evidence,Institutional Endorsements,WHO Strategy Reference,Authentication Notes,Auth_Score
1038,Childbirth complications,erectile dysfunction; premature ejaculation; pelvic pain,"Warm sitz baths with a little rock salt for postpartum care and mild infections.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Guduchi,"Áyurveda Encyclopedia - Ch.21, p.462",Pitta-Kapha,Reproductive,Chronic,Pranayama; Yoga,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.87,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.85
1039,Male Reproductive Disorders,erectile dysfunction; premature ejaculation; pelvic pain,"Warm sitz baths with a little rock salt for postpartum care and mild infections.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.",Kutki,"Áyurveda Encyclopedia - Ch.26, p.373",Pitta-Kapha,Reproductive,Chronic,Meditation; Panchakarma,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.91,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
1040,Leukoderma (Svitra),itching; redness; rashes; scaling; pigmentation changes,"Neem leaf paste or neem oil applied topically for rashes (test patch first).; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Mustā, Coriander","Áyurveda Encyclopedia - Ch.22, p.417",Pitta,Skin,Acute,Pranayama,Avoid alcohol and excess salt,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.69,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
1041,Food Allergies & Parasites,papules and pustules; oily skin; scarring; burning sensation,"Gram flour (besan) and turmeric paste as a gentle cleanser for pimples.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Neem, Arjuna","Áyurveda Encyclopedia - Ch.22, p.370",Kapha,Skin,Acute,Yoga,Avoid alcohol and excess salt,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.63,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
1042,Abscess - variant 4,protein in urine; foamy urine; edema; decreased urine output,"Boil coriander and fennel water and sip cool; maintain hygiene and rest.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.","Bibhitaki, Neem","Áyurveda Encyclopedia - Ch.17, p.405",Tridoshic,Urinary,Chronic,Panchakarma; Surgery (rare),Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.83,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
1043,Sinus Infection,cough; chest congestion; breathlessness; wheezing; throat irritation,"Gargle with warm salt water; nasal saline rinse for congestion.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Shatavari,"Áyurveda Encyclopedia - Ch.18, p.422",Kapha,Respiratory,Chronic,Lifestyle; Pranayama,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.86,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
1044,Obesity (Sthaulya),constipation; hard stools; abdominal distension; low appetite,Cooked apples/banana and buttermilk (chaas) for soothing the stomach.,"Mustā, Brahmi, Turmeric","Áyurveda Encyclopedia - Ch.14, p.391",Vata-Kapha,Digestive,Chronic,Surgery (rare),Avoid sun exposure,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.67,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.87
1045,Cough (Kasa),cough; chest congestion; breathlessness; wheezing; throat irritation,Hot milk with turmeric (for non-children) at bedtime; sip warm fluids.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,Haridra,"Áyurveda Encyclopedia - Ch.22, p.412",Vata-Pitta,Respiratory,Chronic,Meditation; Surgery (rare),,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.86,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
1046,Epilepsy (Apasmaram),anxiety; insomnia; excessive worrying; dizziness,"Warm sesame oil head massage (Shiroabhyanga) gently before bath.; Use jeera in home preparations (e.g., jeera tea or paste) as supportive remedy.","Ginger, Shatavari, Bibhitaki","Áyurveda Encyclopedia - Ch.24, p.380",Kapha,Nervous,Chronic,Herb; Surgery (rare),Avoid spicy/heavy foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),Pregnancy caution,0.69,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
1047,Tumors,fever; fatigue; malaise; body aches,Boil fennel (saunf) or cumin (jeera) in water and sip for bloating/indigestion.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Kutki, Manjistha","Áyurveda Encyclopedia - Ch.15, p.518",Pitta,General/Constitutional,Acute,Aromatherapy,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.73,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.82
1048,Abscess - variant 13,sore throat; swollen tonsils; difficulty swallowing,Hot milk with turmeric (for non-children) at bedtime; sip warm fluids.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Neem, Coriander","Áyurveda Encyclopedia - Ch.18, p.453",Tridoshic,ENT,Acute,Aromatherapy,Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.96,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
1049,Indigestion (Ajeerna),constipation; hard stools; abdominal distension; low appetite,"Moong dal khichdi with ghee and cumin; rest digestive system for 24 hours.; Use cardamom in home preparations (e.g., cardamom tea or paste) as supportive remedy.","Licorice (Yashtimadhu), Gokshura, Shatavari","Áyurveda Encyclopedia - Ch.23, p.505",Pitta,Digestive,Chronic,Herb; Surgery (rare),Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,Adults,0.94,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
1050,Arteriosclerosis,unexplained bleeding; weakness; dizziness; fainting,Light walking and gentle leg exercises; keep legs elevated to reduce swelling.,"Cardamom, Cinnamon, Licorice (Yashtimadhu)","Áyurveda Encyclopedia - Ch.22, p.424",Tridoshic,Circulatory,Chronic,Lifestyle,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.88,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
1051,Hyperthyroidism-like,constipation; hard stools; abdominal distension; low appetite,A pinch of hing (asafoetida) in warm water for gas and colic.,Cinnamon,"Áyurveda Encyclopedia - Ch.24, p.462",Pitta-Kapha,Digestive,Chronic,Lifestyle; Surgery (rare),Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),Pregnancy caution,0.77,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
1052,Edema (Shotha),increased thirst; excessive urination; sugar in urine,"Drink jeera (cumin) water and maintain hydration; avoid excessive spice/alcohol.; Use tulsi in home preparations (e.g., tulsi tea or paste) as supportive remedy.","Licorice (Yashtimadhu), Bibhitaki","Áyurveda Encyclopedia - Ch.26, p.369",Tridoshic,Urinary,Acute,Herb,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.85,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.93
1053,HIV/AIDS (supportive),thirst; increased appetite; polyuria,"Avoid heavy/fried foods; prefer light dals, steamed vegetables, and spices like cumin/ginger.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Mustā, Bhringraj","Áyurveda Encyclopedia - Ch.25, p.389",Vata-Pitta,Metabolic,Chronic,Meditation,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.82,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
1054,Tonsillitis,unexplained bleeding; weakness; dizziness; fainting,"Massage legs with warm sesame oil to improve circulation.; Use licorice in home preparations (e.g., licorice tea or paste) as supportive remedy.","Brahmi, Coriander, Ginger","Áyurveda Encyclopedia - Ch.26, p.410",Tridoshic,Circulatory,Acute,Herb; Lifestyle,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.93,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.87
1055,Leukoderma (Svitra),itching; redness; rashes; scaling; pigmentation changes,"Aloe vera gel applied to affected area 1–2 times daily.; Use cardamom in home preparations (e.g., cardamom tea or paste) as supportive remedy.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Neem, Brahmi, Licorice (Yashtimadhu)","Áyurveda Encyclopedia - Ch.22, p.395",Vata-Kapha,Skin,Chronic,Herb; Meditation,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),Elderly,0.7,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
1056,Thirst Disorders (Trishna),fever; fatigue; malaise; body aches,"Keep joint moving gently; avoid heavy lifting during acute pain.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Gokshura, Ginger, Manjistha","Áyurveda Encyclopedia - Ch.24, p.486",Vata-Pitta,Musculoskeletal,Chronic,Meditation; Pranayama,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.92,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
1057,TB (Yakshma),runny nose; sneezing; sinus pressure; post-nasal drip,Hot milk with turmeric (for non-children) at bedtime; sip warm fluids.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,Licorice (Yashtimadhu),"Áyurveda Encyclopedia - Ch.15, p.433",Pitta,Respiratory,Acute,Aromatherapy,Avoid incompatible food combinations,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.96,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.87
1058,Leukoderma (Svitra),papules and pustules; oily skin; scarring; burning sensation,"Apply a paste of turmeric and water (or honey) for mild wounds/skin infections.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Cardamom, Bakuchi, Coriander","Áyurveda Encyclopedia - Ch.19, p.376",Vata-Kapha,Skin,Chronic,Yoga,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.75,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.86
1059,Memory loss (Alzheimer-like) - variant 16,tremors; numbness; pain radiating down a limb; memory issues,Practice restful sleep hygiene and calming meditation 10 minutes daily.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Haritaki, Sandalwood, Bhringraj","Áyurveda Encyclopedia - Ch.26, p.423",Vata-Kapha,Nervous,Chronic,Aromatherapy; Lifestyle,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.72,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
1060,Gallstones,thirst; increased appetite; polyuria,"Avoid heavy/fried foods; prefer light dals, steamed vegetables, and spices like cumin/ginger.",Guduchi,"Áyurveda Encyclopedia - Ch.22, p.435",Tridoshic,Metabolic,Acute,Surgery (rare),Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.74,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.87
1061,Herpes Zoster (Visarpa),itching; redness; rashes; scaling; pigmentation changes,"Sandalwood paste with rose water for soothing inflamed skin.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.",Clove,"Áyurveda Encyclopedia - Ch.16, p.443",Kapha,Skin,Chronic,Aromatherapy; Yoga,Avoid alcohol and excess salt,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.92,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
1062,Thirst Disorders (Trishna) - variant 14,chronic low energy; poor digestion; sleep disturbances,Tulsi (holy basil) leaves chewed or brewed as tea for cough and mild fever.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,Cinnamon,"Áyurveda Encyclopedia - Ch.24, p.377",Tridoshic,Immune,Chronic,Meditation,Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.67,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
1063,Leukoderma (Svitra),white depigmented patches; gradual spread; occasional itching,"Apply a paste of turmeric and water (or honey) for mild wounds/skin infections.; Use ashwagandha in home preparations (e.g., ashwagandha tea or paste) as supportive remedy.","Khadira, Manjistha, Sandalwood","Áyurveda Encyclopedia - Ch.21, p.351",Vata,Skin,Acute,Herb; Lifestyle,Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),Male-specific,0.81,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
1064,Multiple Sclerosis-like,runny nose; sneezing; sinus pressure; post-nasal drip,"Hot milk with turmeric (for non-children) at bedtime; sip warm fluids.; Use aloe vera in home preparations (e.g., aloe vera tea or paste) as supportive remedy.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Mustā, Shatavari, Bakuchi","Áyurveda Encyclopedia - Ch.26, p.465",Kapha,Respiratory,Acute,Herb; Topical,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),Adults,0.79,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.89
